match_id,timestamp,home_team_id,away_team_id,home_score_total,away_score_total,home_sets_won,away_sets_won,score_diff,set_diff,home_current_score,away_current_score,set_info,game_duration,match_status,home_win_rate_last5,away_win_rate_last5,head_to_head_win_rate_home,target_win
206637,2025-05-13 13:11:06.750073,2164,370209,66,39,2,0,27,2,16,9,Set 1: 25-14 | Set 2: 25-16 | Set 3: 16-9,150m 0s,3rd set,0.8,0.6666666666666666,1.0,1
206637,2025-05-13 13:13:52.767847,2164,370209,69,44,2,0,25,2,19,14,Set 1: 25-14 | Set 2: 25-16 | Set 3: 19-14,150m 0s,3rd set,0.8,0.6666666666666666,1.0,1
206637,2025-05-13 13:16:47.079969,2164,370209,70,44,2,0,26,2,20,14,Set 1: 25-14 | Set 2: 25-16 | Set 3: 20-14,150m 0s,3rd set,0.8,0.6666666666666666,1.0,1
207991,2025-05-14 20:05:25.507846,44350,44433,44,47,1,1,-3,0,0,0,Set 1: 25-22 | Set 2: 19-25 | Set 3: 0-0,150m 0s,3rd set,0.6,0.4,0.45,1
208030,2025-05-14 20:05:29.986085,44300,44561,46,50,0,2,-4,-2,0,0,Set 1: 23-25 | Set 2: 23-25 | Set 3: 0-0,150m 0s,3rd set,0.5,0.2,0.25,1
207991,2025-05-14 20:21:43.409647,44350,44433,62,66,1,1,-4,0,18,19,Set 1: 25-22 | Set 2: 19-25 | Set 3: 18-19,150m 0s,3rd set,0.6,0.4,0.45,1
208030,2025-05-14 20:21:48.399429,44300,44561,64,66,0,2,-2,-2,18,16,Set 1: 23-25 | Set 2: 23-25 | Set 3: 18-16,150m 0s,3rd set,0.5,0.2,0.25,1
207991,2025-05-14 20:25:05.316076,44350,44433,69,68,2,1,1,1,0,0,Set 1: 25-22 | Set 2: 19-25 | Set 3: 25-21 | Set 4: 0-0,150m 0s,4th set,0.6,0.4,0.45,1
208030,2025-05-14 20:27:17.764840,44300,44561,68,71,0,2,-3,-2,22,21,Set 1: 23-25 | Set 2: 23-25 | Set 3: 22-21,150m 0s,3rd set,0.5,0.2,0.25,1
207991,2025-05-14 20:38:23.394847,44350,44433,79,77,2,1,2,1,10,9,Set 1: 25-22 | Set 2: 19-25 | Set 3: 25-21 | Set 4: 10-9,150m 0s,4th set,0.6,0.4,0.45,1
208030,2025-05-14 20:38:23.394896,44300,44561,75,76,1,2,-1,-1,26,24,Set 1: 23-25 | Set 2: 23-25 | Set 3: 26-24,150m 0s,3rd set,0.5,0.2,0.25,1
208030,2025-05-14 20:39:30.433137,44300,44561,75,76,1,2,-1,-1,3,2,Set 1: 23-25 | Set 2: 23-25 | Set 3: 26-24 | Set 4: 3-2,150m 0s,4th set,0.5,0.2,0.25,1
207991,2025-05-14 20:49:39.685903,44350,44433,88,87,2,1,1,1,19,19,Set 1: 25-22 | Set 2: 19-25 | Set 3: 25-21 | Set 4: 19-19,150m 0s,4th set,0.6,0.4,0.45,1
208030,2025-05-14 20:50:47.214839,44300,44561,79,85,1,2,-6,-1,7,11,Set 1: 23-25 | Set 2: 23-25 | Set 3: 26-24 | Set 4: 7-11,150m 0s,4th set,0.5,0.2,0.25,1
207991,2025-05-14 20:51:54.448638,44350,44433,89,90,2,1,-1,1,20,22,Set 1: 25-22 | Set 2: 19-25 | Set 3: 25-21 | Set 4: 20-22,150m 0s,4th set,0.6,0.4,0.45,1
208030,2025-05-14 20:51:54.448764,44300,44561,89,87,1,2,2,-1,17,13,Set 1: 23-25 | Set 2: 23-25 | Set 3: 26-24 | Set 4: 17-13,150m 0s,4th set,0.5,0.2,0.25,1
207991,2025-05-14 20:57:28.290246,44350,44433,91,93,2,2,-2,0,22,25,Set 1: 25-22 | Set 2: 19-25 | Set 3: 25-21 | Set 4: 22-25,150m 0s,4th set,0.6,0.4,0.45,1
208030,2025-05-14 20:57:28.290386,44300,44561,94,90,1,2,4,-1,22,16,Set 1: 23-25 | Set 2: 23-25 | Set 3: 26-24 | Set 4: 22-16,150m 0s,4th set,0.5,0.2,0.25,1
207991,2025-05-14 20:58:37.084624,44350,44433,91,93,2,2,-2,0,0,0,Set 1: 25-22 | Set 2: 19-25 | Set 3: 25-21 | Set 4: 22-25 | Set 5: 0-0,150m 0s,5th set,0.6,0.4,0.45,1
